非财务情况 n
他行授信 n
非受信人 n
对外担保 v
固定资产投资 n
受信人 n
申请人 n
基本情况 n
基本信息 n
注册资金 n
办公地点 n
法定代表 n
销售收入 n
财务情况 n
财务报表 n
资产负债率 n
盈利能力 n
资信情况 n
信用等级 n
授信需求 n
还款来源 n
第一还款来源 n
第二还款来源 n
授信担保方式 n
授信担保 v
抵押物 n
授信抵押物 n
偿债能力  n
授信评估 n
综合分析 v
实际控制人 n
行业经验 n
人脉关系 n
发展前景 n
信审意见 n
建议给予 n
相关规定 n
审查人 n
借款人 n
担保人 n
股权结构 n
实际控制人 n
股东情况 n
股权结构 n
资产负债 n
经营项目 n
注册地址  n
公司性质 n
财务情况 n
不良信息 n
项目规划 n
土地取得情况 n
项目基本情况 n
还款计划 n
保证金 n
审查结论 n
行业背景 n
商业模式 n
主营业务 n
财务分析 n
前景分析 n
行业状况 n
货币资金 n
盈利分析 n
授信用途 n
担保分析 n
代偿能力 n
风险点 n
风险点揭示 n
经营情况 n
关联企业 n
担保方式 n
证券代码 n
证券简称 n
公告编号 n
激励股份 n
回购注销 n
激励对象 n
回购价格 n

